,Ball 0,,,,,Ball 1,,,,,
,m:,10,,,,m:,10,,,,
,r:,1,,,,r:,1,,,,
,k:,900,,,,k:,900,,,,
,rot: ,true,,,,,,,,,
,u_k: ,0.5,,,,,,,,,
t,s_x,s_y,v_x,v_y,w,s_x,s_y,v_x,v_y,w,
0.178,0.472014,0,1.80257,0,0,2.16199,0,1.19743,0,0,
0.179,0.473802,0,1.78862,0,0,2.1632,0,1.21138,0,0,
0.18,0.475577,0,1.77464,0,0,2.16442,0,1.22536,0,0,
0.181,0.477337,0,1.76064,0,0,2.16566,0,1.23936,0,0,
0.182,0.479084,0,1.74661,0,0,2.16692,0,1.25339,0,0,
0.183,0.480817,0,1.73257,0,0,2.16818,0,1.26743,0,0,
0.184,0.482535,0,1.7185,0,0,2.16946,0,1.2815,0,0,
0.185,0.48424,0,1.70441,0,0,2.17076,0,1.29559,0,0,
0.186,0.48593,0,1.6903,0,0,2.17207,0,1.3097,0,0,
0.187,0.487606,0,1.67618,0,0,2.17339,0,1.32382,0,0,
0.188,0.489268,0,1.66204,0,0,2.17473,0,1.33796,0,0,
0.189,0.490916,0,1.64789,0,0,2.17608,0,1.35211,0,0,
0.19,0.49255,0,1.63372,0,0,2.17745,0,1.36628,0,0,
0.191,0.494169,0,1.61954,0,0,2.17883,0,1.38046,0,0,
0.192,0.495775,0,1.60535,0,0,2.18023,0,1.39465,0,0,
0.193,0.497366,0,1.59115,0,0,2.18163,0,1.40885,0,0,
0.194,0.498943,0,1.57694,0,0,2.18306,0,1.42306,0,0,
0.195,0.500505,0,1.56273,0,0,2.18449,0,1.43727,0,0,
0.196,0.502054,0,1.54851,0,0,2.18595,0,1.45149,0,0,
0.197,0.503588,0,1.53428,0,0,2.18741,0,1.46572,0,0,
0.198,0.505108,0,1.52005,0,0,2.18889,0,1.47995,0,0,
0.199,0.506614,0,1.50582,0,0,2.19039,0,1.49418,0,0,
0.2,0.508106,0,1.49159,0,0,2.19189,0,1.50841,0,0,
0.201,0.509583,0,1.47736,0,0,2.19342,0,1.52264,0,0,
0.202,0.511046,0,1.46314,0,0,2.19495,0,1.53686,0,0,
0.203,0.512495,0,1.44891,0,0,2.1965,0,1.55109,0,0,
0.204,0.51393,0,1.43469,0,0,2.19807,0,1.56531,0,0,
0.205,0.51535,0,1.42048,0,0,2.19965,0,1.57952,0,0,
0.206,0.516756,0,1.40627,0,0,2.20124,0,1.59373,0,0,
0.207,0.518149,0,1.39207,0,0,2.20285,0,1.60793,0,0,
0.208,0.519526,0,1.37789,0,0,2.20447,0,1.62211,0,0,
0.209,0.52089,0,1.36371,0,0,2.20611,0,1.63629,0,0,
0.21,0.52224,0,1.34954,0,0,2.20776,0,1.65046,0,0,
0.211,0.523575,0,1.33539,0,0,2.20942,0,1.66461,0,0,
0.212,0.524896,0,1.32125,0,0,2.2111,0,1.67875,0,0,
0.213,0.526203,0,1.30713,0,0,2.2128,0,1.69287,0,0,
0.214,0.527496,0,1.29303,0,0,2.2145,0,1.70697,0,0,
0.215,0.528775,0,1.27895,0,0,2.21622,0,1.72105,0,0,
0.216,0.53004,0,1.26488,0,0,2.21796,0,1.73512,0,0,
0.217,0.531291,0,1.25084,0,0,2.21971,0,1.74916,0,0,
0.218,0.532528,0,1.23682,0,0,2.22147,0,1.76318,0,0,
0.219,0.533751,0,1.22282,0,0,2.22325,0,1.77718,0,0,
0.22,0.53496,0,1.20885,0,0,2.22504,0,1.79115,0,0,
0.221,0.536155,0,1.1949,0,0,2.22685,0,1.8051,0,0,
0.222,0.537336,0,1.18098,0,0,2.22866,0,1.81902,0,0,
0.223,0.538503,0,1.16709,0,0,2.2305,0,1.83291,0,0,
0.224,0.539656,0,1.15323,0,0,2.23234,0,1.84677,0,0,
0.225,0.540795,0,1.1394,0,0,2.2342,0,1.8606,0,0,
0.226,0.541921,0,1.1256,0,0,2.23608,0,1.8744,0,0,
0.227,0.543033,0,1.11184,0,0,2.23797,0,1.88816,0,0,
0.228,0.544131,0,1.09811,0,0,2.23987,0,1.90189,0,0,
0.229,0.545215,0,1.08442,0,0,2.24178,0,1.91558,0,0,
0.23,0.546286,0,1.07077,0,0,2.24371,0,1.92923,0,0,
0.231,0.547343,0,1.05715,0,0,2.24566,0,1.94285,0,0,
0.232,0.548387,0,1.04358,0,0,2.24761,0,1.95642,0,0,
0.233,0.549417,0,1.03004,0,0,2.24958,0,1.96996,0,0,
0.234,0.550433,0,1.01655,0,0,2.25157,0,1.98345,0,0,
0.235,0.551436,0,1.0031,0,0,2.25356,0,1.9969,0,0,
0.236,0.552426,0,0.989696,0,0,2.25557,0,2.0103,0,0,
0.237,0.553402,0,0.976337,0,0,2.2576,0,2.02366,0,0,
0.238,0.554365,0,0.963026,0,0,2.25963,0,2.03697,0,0,
0.239,0.555315,0,0.949763,0,0,2.26168,0,2.05024,0,0,
0.24,0.556252,0,0.93655,0,0,2.26375,0,2.06345,0,0,
0.241,0.557175,0,0.923387,0,0,2.26582,0,2.07661,0,0,
0.242,0.558085,0,0.910276,0,0,2.26791,0,2.08972,0,0,
0.243,0.558983,0,0.897219,0,0,2.27002,0,2.10278,0,0,
0.244,0.559867,0,0.884215,0,0,2.27213,0,2.11578,0,0,
0.245,0.560738,0,0.871267,0,0,2.27426,0,2.12873,0,0,
0.246,0.561597,0,0.858376,0,0,2.2764,0,2.14162,0,0,
0.247,0.562442,0,0.845542,0,0,2.27856,0,2.15446,0,0,
0.248,0.563275,0,0.832767,0,0,2.28073,0,2.16723,0,0,
0.249,0.564095,0,0.820053,0,0,2.28291,0,2.17995,0,0,
0.25,0.564902,0,0.807399,0,0,2.2851,0,2.1926,0,0,
0.251,0.565697,0,0.794808,0,0,2.2873,0,2.20519,0,0,
0.252,0.566479,0,0.78228,0,0,2.28952,0,2.21772,0,0,
0.253,0.567249,0,0.769817,0,0,2.29175,0,2.23018,0,0,
0.254,0.568007,0,0.757419,0,0,2.29399,0,2.24258,0,0,
0.255,0.568752,0,0.745089,0,0,2.29625,0,2.25491,0,0,
0.256,0.569485,0,0.732826,0,0,2.29852,0,2.26717,0,0,
0.257,0.570205,0,0.720633,0,0,2.30079,0,2.27937,0,0,
0.258,0.570914,0,0.708509,0,0,2.30309,0,2.29149,0,0,
0.259,0.57161,0,0.696457,0,0,2.30539,0,2.30354,0,0,
0.26,0.572295,0,0.684477,0,0,2.30771,0,2.31552,0,0,
0.261,0.572967,0,0.67257,0,0,2.31003,0,2.32743,0,0,
0.262,0.573628,0,0.660738,0,0,2.31237,0,2.33926,0,0,
0.263,0.574277,0,0.648982,0,0,2.31472,0,2.35102,0,0,
0.264,0.574914,0,0.637302,0,0,2.31709,0,2.3627,0,0,
0.265,0.57554,0,0.6257,0,0,2.31946,0,2.3743,0,0,
0.266,0.576154,0,0.614176,0,0,2.32185,0,2.38582,0,0,
0.267,0.576757,0,0.602732,0,0,2.32424,0,2.39727,0,0,
0.268,0.577348,0,0.591369,0,0,2.32665,0,2.40863,0,0,
0.269,0.577928,0,0.580088,0,0,2.32907,0,2.41991,0,0,
0.27,0.578497,0,0.568889,0,0,2.3315,0,2.43111,0,0,
0.271,0.579055,0,0.557775,0,0,2.33395,0,2.44223,0,0,
0.272,0.579602,0,0.546745,0,0,2.3364,0,2.45326,0,0,
0.273,0.580137,0,0.5358,0,0,2.33886,0,2.4642,0,0,
0.274,0.580662,0,0.524943,0,0,2.34134,0,2.47506,0,0,
0.275,0.581177,0,0.514173,0,0,2.34382,0,2.48583,0,0,
0.276,0.58168,0,0.503493,0,0,2.34632,0,2.49651,0,0,
0.277,0.582173,0,0.492901,0,0,2.34883,0,2.5071,0,0,
0.278,0.582655,0,0.482401,0,0,2.35134,0,2.5176,0,0,
0.279,0.583127,0,0.471992,0,0,2.35387,0,2.52801,0,0,
0.28,0.583589,0,0.461675,0,0,2.35641,0,2.53832,0,0,
0.281,0.58404,0,0.451452,0,0,2.35896,0,2.54855,0,0,
0.282,0.584482,0,0.441324,0,0,2.36152,0,2.55868,0,0,
0.283,0.584913,0,0.43129,0,0,2.36409,0,2.56871,0,0,
0.284,0.585334,0,0.421353,0,0,2.36667,0,2.57865,0,0,
0.285,0.585746,0,0.411513,0,0,2.36925,0,2.58849,0,0,
0.286,0.586148,0,0.401771,0,0,2.37185,0,2.59823,0,0,
0.287,0.58654,0,0.392128,0,0,2.37446,0,2.60787,0,0,
0.288,0.586922,0,0.382584,0,0,2.37708,0,2.61742,0,0,
0.289,0.587296,0,0.373141,0,0,2.3797,0,2.62686,0,0,
0.29,0.587659,0,0.363799,0,0,2.38234,0,2.6362,0,0,
0.291,0.588014,0,0.35456,0,0,2.38499,0,2.64544,0,0,
0.292,0.588359,0,0.345424,0,0,2.38764,0,2.65458,0,0,
0.293,0.588696,0,0.336391,0,0,2.3903,0,2.66361,0,0,
0.294,0.589023,0,0.327464,0,0,2.39298,0,2.67254,0,0,
0.295,0.589342,0,0.318642,0,0,2.39566,0,2.68136,0,0,
0.296,0.589652,0,0.309926,0,0,2.39835,0,2.69007,0,0,
0.297,0.589953,0,0.301317,0,0,2.40105,0,2.69868,0,0,
0.298,0.590246,0,0.292817,0,0,2.40375,0,2.70718,0,0,
0.299,0.59053,0,0.284424,0,0,2.40647,0,2.71558,0,0,
0.3,0.590806,0,0.276142,0,0,2.40919,0,2.72386,0,0,
0.301,0.591074,0,0.267969,0,0,2.41193,0,2.73203,0,0,
0.302,0.591334,0,0.259907,0,0,2.41467,0,2.74009,0,0,
0.303,0.591586,0,0.251957,0,0,2.41741,0,2.74804,0,0,
0.304,0.59183,0,0.24412,0,0,2.42017,0,2.75588,0,0,
0.305,0.592067,0,0.236395,0,0,2.42293,0,2.76361,0,0,
0.306,0.592296,0,0.228784,0,0,2.4257,0,2.77122,0,0,
0.307,0.592517,0,0.221287,0,0,2.42848,0,2.77871,0,0,
0.308,0.592731,0,0.213906,0,0,2.43127,0,2.78609,0,0,
0.309,0.592937,0,0.20664,0,0,2.43406,0,2.79336,0,0,
0.31,0.593137,0,0.199491,0,0,2.43686,0,2.80051,0,0,
0.311,0.593329,0,0.192458,0,0,2.43967,0,2.80754,0,0,
0.312,0.593515,0,0.185544,0,0,2.44249,0,2.81446,0,0,
0.313,0.593694,0,0.178747,0,0,2.44531,0,2.82125,0,0,
0.314,0.593866,0,0.17207,0,0,2.44813,0,2.82793,0,0,
0.315,0.594031,0,0.165512,0,0,2.45097,0,2.83449,0,0,
0.316,0.59419,0,0.159074,0,0,2.45381,0,2.84093,0,0,
0.317,0.594343,0,0.152757,0,0,2.45666,0,2.84724,0,0,
0.318,0.59449,0,0.146561,0,0,2.45951,0,2.85344,0,0,
0.319,0.59463,0,0.140487,0,0,2.46237,0,2.85951,0,0,
0.32,0.594765,0,0.134535,0,0,2.46524,0,2.86546,0,0,
0.321,0.594893,0,0.128706,0,0,2.46811,0,2.87129,0,0,
0.322,0.595016,0,0.123001,0,0,2.47098,0,2.877,0,0,
0.323,0.595134,0,0.11742,0,0,2.47387,0,2.88258,0,0,
0.324,0.595246,0,0.111962,0,0,2.47675,0,2.88804,0,0,
0.325,0.595352,0,0.10663,0,0,2.47965,0,2.89337,0,0,
0.326,0.595454,0,0.101424,0,0,2.48255,0,2.89858,0,0,
0.327,0.59555,0,0.0963428,0,0,2.48545,0,2.90366,0,0,
0.328,0.595642,0,0.0913883,0,0,2.48836,0,2.90861,0,0,
0.329,0.595728,0,0.0865605,0,0,2.49127,0,2.91344,0,0,
0.33,0.59581,0,0.08186,0,0,2.49419,0,2.91814,0,0,
0.331,0.595887,0,0.0772871,0,0,2.49711,0,2.92271,0,0,
0.332,0.59596,0,0.0728423,0,0,2.50004,0,2.92716,0,0,
0.333,0.596029,0,0.0685259,0,0,2.50297,0,2.93147,0,0,
0.334,0.596093,0,0.0643383,0,0,2.50591,0,2.93566,0,0,
0.335,0.596153,0,0.0602799,0,0,2.50885,0,2.93972,0,0,
0.336,0.59621,0,0.0563511,0,0,2.51179,0,2.94365,0,0,
0.337,0.596262,0,0.0525522,0,0,2.51474,0,2.94745,0,0,
0.338,0.596311,0,0.0488836,0,0,2.51769,0,2.95112,0,0,
0.339,0.596356,0,0.0453457,0,0,2.52064,0,2.95465,0,0,
0.34,0.596398,0,0.0419386,0,0,2.5236,0,2.95806,0,0,
0.341,0.596437,0,0.0386627,0,0,2.52656,0,2.96134,0,0,
0.342,0.596473,0,0.0355184,0,0,2.52953,0,2.96448,0,0,
0.343,0.596505,0,0.0325059,0,0,2.53249,0,2.96749,0,0,
0.344,0.596535,0,0.0296254,0,0,2.53547,0,2.97037,0,0,
0.345,0.596562,0,0.0268773,0,0,2.53844,0,2.97312,0,0,
0.346,0.596586,0,0.0242618,0,0,2.54141,0,2.97574,0,0,
0.347,0.596608,0,0.021779,0,0,2.54439,0,2.97822,0,0,
0.348,0.596627,0,0.0194294,0,0,2.54737,0,2.98057,0,0,
0.349,0.596644,0,0.0172129,0,0,2.55036,0,2.98279,0,0,
0.35,0.596659,0,0.01513,0,0,2.55334,0,2.98487,0,0,
0.351,0.596673,0,0.0131806,0,0,2.55633,0,2.98682,0,0,
0.352,0.596684,0,0.0113651,0,0,2.55932,0,2.98863,0,0,
0.353,0.596694,0,0.00968354,0,0,2.56231,0,2.99032,0,0,
0.354,0.596702,0,0.00813612,0,0,2.5653,0,2.99186,0,0,
