,Ball 0,,,,Ball 1,,,,
,m:,1,,,m:,1,,,
,r:,1,,,r:,1,,,
,k:,980,,,k:,980,,,
,rot: ,false,,,,,,,
,u_k: ,0.5,,,,,,,
t,s_x,v_x,theta,w,s_x,v_x,theta,w,
0.0852,0.426,5,0,0,3,0,0,0,
0.0854,0.427,5,0,0,3,0,0,0,
0.0856,0.428,5,0,0,3,0,0,0,
0.0858,0.429,5,0,0,3,0,0,0,
0.086,0.43,5,0,0,3,0,0,0,
0.0862,0.431,5,0,0,3,0,0,0,
0.0864,0.432,5,0,0,3,0,0,0,
0.0866,0.433,5,0,0,3,0,0,0,
0.0868,0.434,5,0,0,3,0,0,0,
0.087,0.435,5,0,0,3,0,0,0,
0.0872,0.436,5,0,0,3,0,0,0,
0.0874,0.437,5,0,0,3,0,0,0,
0.0876,0.438,5,0,0,3,0,0,0,
0.0878,0.439,5,0,0,3,0,0,0,
0.088,0.44,5,0,0,3,0,0,0,
0.0882,0.441,5,0,0,3,0,0,0,
0.0884,0.442,5,0,0,3,0,0,0,
0.0886,0.443,5,0,0,3,0,0,0,
0.0888,0.444,5,0,0,3,0,0,0,
0.089,0.445,5,0,0,3,0,0,0,
0.0892,0.446,5,0,0,3,0,0,0,
0.0894,0.447,5,0,0,3,0,0,0,
0.0896,0.448,5,0,0,3,0,0,0,
0.0898,0.449,5,0,0,3,0,0,0,
0.09,0.45,5,0,0,3,0,0,0,
0.0902,0.451,5,0,0,3,0,0,0,
0.0904,0.452,5,0,0,3,0,0,0,
0.0906,0.453,5,0,0,3,0,0,0,
0.0908,0.454,5,0,0,3,0,0,0,
0.091,0.455,5,0,0,3,0,0,0,
0.0912,0.456,5,0,0,3,0,0,0,
0.0914,0.457,5,0,0,3,0,0,0,
0.0916,0.458,5,0,0,3,0,0,0,
0.0918,0.459,5,0,0,3,0,0,0,
0.092,0.46,5,0,0,3,0,0,0,
0.0922,0.461,5,0,0,3,0,0,0,
0.0924,0.462,5,0,0,3,0,0,0,
0.0926,0.463,5,0,0,3,0,0,0,
0.0928,0.464,5,0,0,3,0,0,0,
0.093,0.465,5,0,0,3,0,0,0,
0.0932,0.466,5,0,0,3,0,0,0,
0.0934,0.467,5,0,0,3,0,0,0,
0.0936,0.468,5,0,0,3,0,0,0,
0.0938,0.469,5,0,0,3,0,0,0,
0.094,0.47,5,0,0,3,0,0,0,
0.0942,0.471,5,0,0,3,0,0,0,
0.0944,0.472,5,0,0,3,0,0,0,
0.0946,0.473,5,0,0,3,0,0,0,
0.0948,0.474,5,0,0,3,0,0,0,
0.095,0.475,5,0,0,3,0,0,0,
0.0952,0.476,5,0,0,3,0,0,0,
0.0954,0.477,5,0,0,3,0,0,0,
0.0956,0.478,5,0,0,3,0,0,0,
0.0958,0.479,5,0,0,3,0,0,0,
0.096,0.48,5,0,0,3,0,0,0,
0.0962,0.481,5,0,0,3,0,0,0,
0.0964,0.482,5,0,0,3,0,0,0,
0.0966,0.483,5,0,0,3,0,0,0,
0.0968,0.484,5,0,0,3,0,0,0,
0.097,0.485,5,0,0,3,0,0,0,
0.0972,0.486,5,0,0,3,0,0,0,
0.0974,0.487,5,0,0,3,0,0,0,
0.0976,0.488,5,0,0,3,0,0,0,
0.0978,0.489,5,0,0,3,0,0,0,
0.098,0.49,5,0,0,3,0,0,0,
0.0982,0.491,5,0,0,3,0,0,0,
0.0984,0.492,5,0,0,3,0,0,0,
0.0986,0.493,5,0,0,3,0,0,0,
0.0988,0.494,5,0,0,3,0,0,0,
0.099,0.495,5,0,0,3,0,0,0,
0.0992,0.496,5,0,0,3,0,0,0,
0.0994,0.497,5,0,0,3,0,0,0,
0.0996,0.498,5,0,0,3,0,0,0,
0.0998,0.499,5,0,0,3,0,0,0,
0.1,0.5,5,0,0,3,0,0,0,
0.1002,0.501,5,0,0,3,0,0,0,
0.1004,0.502,5,0,0,3,0,0,0,
0.1006,0.503,5,0,0,3,0,0,0,
0.1008,0.504,5,0,0,3,0,0,0,
0.101,0.505,5,0,0,3,0,0,0,
0.1012,0.506,5,0,0,3,0,0,0,
0.1014,0.507,5,0,0,3,0,0,0,
0.1016,0.508,5,0,0,3,0,0,0,
0.1018,0.509,5,0,0,3,0,0,0,
0.102,0.51,5,0,0,3,0,0,0,
0.1022,0.511,5,0,0,3,0,0,0,
0.1024,0.512,5,0,0,3,0,0,0,
0.1026,0.513,5,0,0,3,0,0,0,
0.1028,0.514,5,0,0,3,0,0,0,
0.103,0.515,5,0,0,3,0,0,0,
0.1032,0.516,5,0,0,3,0,0,0,
0.1034,0.517,5,0,0,3,0,0,0,
0.1036,0.518,5,0,0,3,0,0,0,
0.1038,0.519,5,0,0,3,0,0,0,
0.104,0.52,5,0,0,3,0,0,0,
0.1042,0.521,5,0,0,3,0,0,0,
0.1044,0.522,5,0,0,3,0,0,0,
0.1046,0.523,5,0,0,3,0,0,0,
0.1048,0.524,5,0,0,3,0,0,0,
0.105,0.525,5,0,0,3,0,0,0,
0.1052,0.526,5,0,0,3,0,0,0,
0.1054,0.527,5,0,0,3,0,0,0,
0.1056,0.528,5,0,0,3,0,0,0,
0.1058,0.529,5,0,0,3,0,0,0,
0.106,0.53,5,0,0,3,0,0,0,
0.1062,0.531,5,0,0,3,0,0,0,
0.1064,0.532,5,0,0,3,0,0,0,
0.1066,0.533,5,0,0,3,0,0,0,
0.1068,0.534,5,0,0,3,0,0,0,
0.107,0.535,5,0,0,3,0,0,0,
0.1072,0.536,5,0,0,3,0,0,0,
0.1074,0.537,5,0,0,3,0,0,0,
0.1076,0.538,5,0,0,3,0,0,0,
0.1078,0.539,5,0,0,3,0,0,0,
0.108,0.54,5,0,0,3,0,0,0,
0.1082,0.541,5,0,0,3,0,0,0,
0.1084,0.542,5,0,0,3,0,0,0,
0.1086,0.543,5,0,0,3,0,0,0,
0.1088,0.544,5,0,0,3,0,0,0,
0.109,0.545,5,0,0,3,0,0,0,
0.1092,0.546,5,0,0,3,0,0,0,
0.1094,0.547,5,0,0,3,0,0,0,
0.1096,0.548,5,0,0,3,0,0,0,
0.1098,0.549,5,0,0,3,0,0,0,
0.11,0.55,5,0,0,3,0,0,0,
0.1102,0.551,5,0,0,3,0,0,0,
0.1104,0.552,5,0,0,3,0,0,0,
0.1106,0.553,5,0,0,3,0,0,0,
0.1108,0.554,5,0,0,3,0,0,0,
