,Ball 0,,,,,,Ball 1,,,,,,
,m:,1.2,,,,,m:,2.31,,,,,
,r:,1,,,,,r:,1,,,,,
,k:,9800,,,,,k:,9800,,,,,
,rot: ,true,,,,,,,,,,,
,u_k: ,0.5,,,,,,,,,,,
t,s_x,s_y,v_x,v_y,theta,w,s_x,s_y,v_x,v_y,theta,w,
0.0123,0.106521,0.9385,8.66025,-5,0,0,-1.15619,-0.881406,11.4907,9.64181,0,0,
0.0124,0.107387,0.938,8.66025,-5,0,0,-1.15505,-0.880442,11.4907,9.64181,0,0,
0.0125,0.108253,0.9375,8.66025,-5,0,0,-1.1539,-0.879477,11.4907,9.64181,0,0,
0.0126,0.109119,0.937,8.66025,-5,0,0,-1.15275,-0.878513,11.4907,9.64181,0,0,
0.0127,0.109985,0.9365,8.66025,-5,0,0,-1.1516,-0.877549,11.4907,9.64181,0,0,
0.0128,0.110851,0.936,8.66025,-5,0,0,-1.15045,-0.876585,11.4907,9.64181,0,0,
0.0129,0.111717,0.9355,8.66025,-5,0,0,-1.1493,-0.875621,11.4907,9.64181,0,0,
0.013,0.112583,0.935,8.66025,-5,0,0,-1.14815,-0.874656,11.4907,9.64181,0,0,
0.0131,0.113449,0.9345,8.66025,-5,0,0,-1.147,-0.873692,11.4907,9.64181,0,0,
0.0132,0.114315,0.934,8.66025,-5,0,0,-1.14585,-0.872728,11.4907,9.64181,0,0,
0.0133,0.115181,0.9335,8.66025,-5,0,0,-1.1447,-0.871764,11.4907,9.64181,0,0,
0.0134,0.116047,0.933,8.66025,-5,0,0,-1.14356,-0.8708,11.4907,9.64181,0,0,
0.0135,0.116913,0.9325,8.66025,-5,0,0,-1.14241,-0.869836,11.4907,9.64181,0,0,
0.0136,0.117779,0.932,8.66025,-5,0,0,-1.14126,-0.868871,11.4907,9.64181,0,0,
0.0137,0.118645,0.9315,8.66025,-5,0,0,-1.14011,-0.867907,11.4907,9.64181,0,0,
0.0138,0.119511,0.931,8.66025,-5,0,0,-1.13896,-0.866943,11.4907,9.64181,0,0,
0.0139,0.120377,0.9305,8.66025,-5,0,0,-1.13781,-0.865979,11.4907,9.64181,0,0,
0.014,0.121244,0.93,8.66025,-5,0,0,-1.13666,-0.865015,11.4907,9.64181,0,0,
0.0141,0.12211,0.9295,8.66025,-5,0,0,-1.13551,-0.86405,11.4907,9.64181,0,0,
0.0142,0.122976,0.929,8.66025,-5,0,0,-1.13436,-0.863086,11.4907,9.64181,0,0,
0.0143,0.123842,0.9285,8.66025,-5,0,0,-1.13321,-0.862122,11.4907,9.64181,0,0,
0.0144,0.124708,0.928,8.66025,-5,0,0,-1.13206,-0.861158,11.4907,9.64181,0,0,
0.0145,0.125574,0.9275,8.66025,-5,0,0,-1.13092,-0.860194,11.4907,9.64181,0,0,
0.0146,0.12644,0.927,8.66025,-5,0,0,-1.12977,-0.85923,11.4907,9.64181,0,0,
