,Ball 0,,,,,,Ball 1,,,,,,
,m:,1.2,,,,,m:,2.31,,,,,
,r:,1,,,,,r:,1,,,,,
,k:,980,,,,,k:,980,,,,,
,rot: ,true,,,,,,,,,,,
,u_k: ,0.5,,,,,,,,,,,
t,s_x,s_y,v_x,v_y,theta,w,s_x,s_y,v_x,v_y,theta,w,
0.0104,0.17784,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0105,0.17955,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0106,0.18126,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0107,0.18297,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0108,0.18468,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0109,0.18639,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.011,0.1881,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0111,0.18981,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0112,0.19152,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0113,0.19323,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0114,0.19494,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0115,0.19665,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0116,0.19836,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0117,0.20007,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0118,0.20178,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0119,0.20349,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.012,0.2052,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0121,0.20691,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0122,0.20862,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0123,0.21033,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0124,0.21204,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0125,0.21375,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0126,0.21546,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0127,0.21717,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0128,0.21888,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0129,0.22059,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.013,0.2223,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0131,0.22401,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0132,0.22572,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0133,0.22743,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0134,0.22914,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0135,0.23085,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0136,0.23256,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0137,0.23427,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0138,0.23598,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0139,0.23769,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.014,0.2394,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0141,0.24111,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0142,0.24282,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0143,0.24453,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0144,0.24624,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0145,0.24795,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0146,0.24966,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0147,0.25137,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0148,0.25308,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0149,0.25479,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.015,0.2565,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0151,0.25821,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0152,0.25992,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0153,0.26163,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0154,0.26334,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0155,0.26505,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0156,0.26676,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0157,0.26847,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0158,0.27018,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0159,0.27189,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.016,0.2736,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0161,0.27531,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0162,0.27702,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0163,0.27873,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0164,0.28044,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0165,0.28215,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0166,0.28386,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0167,0.28557,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0168,0.28728,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0169,0.28899,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.017,0.2907,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0171,0.29241,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0172,0.29412,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0173,0.29583,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0174,0.29754,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0175,0.29925,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0176,0.30096,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0177,0.30267,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0178,0.30438,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0179,0.30609,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.018,0.3078,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0181,0.30951,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0182,0.31122,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0183,0.31293,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0184,0.31464,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0185,0.31635,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0186,0.31806,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0187,0.31977,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0188,0.32148,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0189,0.32319,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.019,0.3249,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0191,0.32661,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0192,0.32832,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0193,0.33003,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0194,0.33174,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0195,0.33345,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0196,0.33516,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0197,0.33687,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0198,0.33858,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0199,0.34029,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.02,0.342,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0201,0.34371,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0202,0.34542,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0203,0.34713,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0204,0.34884,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0205,0.35055,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0206,0.35226,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0207,0.35397,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0208,0.35568,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0209,0.35739,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.021,0.3591,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0211,0.36081,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0212,0.36252,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0213,0.36423,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0214,0.36594,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0215,0.36765,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0216,0.36936,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
